id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,kulczynski,imbalance_ratio
39,"['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.159,0.2342,0.1194,0.750943,0.630382,0.274653
40,['Terminator 2: Judgment Day (1991)'],['Forrest Gump (1994)'],0.2306,0.3396,0.1702,0.738075,0.619627,0.2725
41,['Terminator 2: Judgment Day (1991)'],['Jurassic Park (1993)'],0.2306,0.2644,0.1662,0.720729,0.674661,0.102798
42,['Jurassic Park (1993)'],['Terminator 2: Judgment Day (1991)'],0.2644,0.2306,0.1662,0.628593,0.674661,0.102798
43,['Terminator 2: Judgment Day (1991)'],['Pulp Fiction (1994)'],0.2306,0.326,0.1628,0.705984,0.602685,0.242255
44,['Terminator 2: Judgment Day (1991)'],"['Silence of the Lambs, The (1991)']",0.2306,0.3134,0.1618,0.701648,0.608961,0.216641
45,['Terminator 2: Judgment Day (1991)'],['Braveheart (1995)'],0.2306,0.254,0.1454,0.630529,0.601485,0.068986
46,"['Forrest Gump (1994)', 'Jurassic Park (1993)']",['Terminator 2: Judgment Day (1991)'],0.2014,0.2306,0.136,0.675273,0.63252,0.098649
47,"['Forrest Gump (1994)', 'Pulp Fiction (1994)']",['Terminator 2: Judgment Day (1991)'],0.2148,0.2306,0.1348,0.627561,0.606062,0.050869
48,"['Jurassic Park (1993)', 'Pulp Fiction (1994)']",['Terminator 2: Judgment Day (1991)'],0.1728,0.2306,0.1294,0.748843,0.654994,0.210949
49,"['Terminator 2: Judgment Day (1991)', 'Forrest Gump (1994)']","['Jurassic Park (1993)', 'Pulp Fiction (1994)']",0.1702,0.1728,0.1122,0.659224,0.654265,0.011265
50,"['Terminator 2: Judgment Day (1991)', 'Pulp Fiction (1994)']","['Forrest Gump (1994)', 'Jurassic Park (1993)']",0.1628,0.2014,0.1122,0.689189,0.623144,0.153175
51,"['Jurassic Park (1993)', 'Pulp Fiction (1994)']","['Terminator 2: Judgment Day (1991)', 'Forrest Gump (1994)']",0.1728,0.1702,0.1122,0.649306,0.654265,0.011265
52,"['Forrest Gump (1994)', 'Silence of the Lambs, The (1991)']",['Terminator 2: Judgment Day (1991)'],0.2124,0.2306,0.134,0.630885,0.605989,0.0589
53,"['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']",['Terminator 2: Judgment Day (1991)'],0.1758,0.2306,0.1274,0.724687,0.638579,0.196416
54,"['Terminator 2: Judgment Day (1991)', 'Silence of the Lambs, The (1991)']","['Forrest Gump (1994)', 'Pulp Fiction (1994)']",0.1618,0.2148,0.1124,0.694685,0.608981,0.200606
55,"['Terminator 2: Judgment Day (1991)', 'Pulp Fiction (1994)']","['Forrest Gump (1994)', 'Silence of the Lambs, The (1991)']",0.1628,0.2124,0.1124,0.690418,0.609804,0.188737
56,"['Forrest Gump (1994)', 'Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']",['Terminator 2: Judgment Day (1991)'],0.1528,0.2306,0.1122,0.734293,0.610425,0.286873
57,"['Terminator 2: Judgment Day (1991)', 'Forrest Gump (1994)']","['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']",0.1702,0.1758,0.1122,0.659224,0.648725,0.023952
58,"['Terminator 2: Judgment Day (1991)', 'Jurassic Park (1993)']","['Forrest Gump (1994)', 'Silence of the Lambs, The (1991)']",0.1662,0.2124,0.1122,0.67509,0.601669,0.173423
59,"['Terminator 2: Judgment Day (1991)', 'Silence of the Lambs, The (1991)']","['Forrest Gump (1994)', 'Jurassic Park (1993)']",0.1618,0.2014,0.1122,0.693449,0.625274,0.157769
60,"['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']","['Terminator 2: Judgment Day (1991)', 'Forrest Gump (1994)']",0.1758,0.1702,0.1122,0.638225,0.648725,0.023952
61,"['Terminator 2: Judgment Day (1991)', 'Pulp Fiction (1994)']","['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']",0.1628,0.1758,0.1074,0.659705,0.635313,0.056228
62,"['Terminator 2: Judgment Day (1991)', 'Silence of the Lambs, The (1991)']","['Jurassic Park (1993)', 'Pulp Fiction (1994)']",0.1618,0.1728,0.1074,0.663782,0.642655,0.048415
63,"['Jurassic Park (1993)', 'Pulp Fiction (1994)']","['Terminator 2: Judgment Day (1991)', 'Silence of the Lambs, The (1991)']",0.1728,0.1618,0.1074,0.621528,0.642655,0.048415
64,"['Jurassic Park (1993)', 'Silence of the Lambs, The (1991)']","['Terminator 2: Judgment Day (1991)', 'Pulp Fiction (1994)']",0.1758,0.1628,0.1074,0.610922,0.635313,0.056228
65,"['Jurassic Park (1993)', 'Shawshank Redemption, The (1994)']",['Terminator 2: Judgment Day (1991)'],0.1554,0.2306,0.112,0.720721,0.603205,0.274453
66,"['Forrest Gump (1994)', 'Braveheart (1995)']",['Terminator 2: Judgment Day (1991)'],0.1788,0.2306,0.1212,0.677852,0.601719,0.179736
67,"['Braveheart (1995)', 'Jurassic Park (1993)']",['Terminator 2: Judgment Day (1991)'],0.152,0.2306,0.1156,0.760526,0.630914,0.294382
68,"['Braveheart (1995)', 'Jurassic Park (1993)']","['Terminator 2: Judgment Day (1991)', 'Forrest Gump (1994)']",0.152,0.1702,0.101,0.664474,0.628947,0.082278
69,"['Usual Suspects, The (1995)']",['Pulp Fiction (1994)'],0.225,0.326,0.1676,0.744889,0.629499,0.263432
70,"['Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)']","['Usual Suspects, The (1995)']",0.2192,0.225,0.1358,0.619526,0.611541,0.018807
71,"['Usual Suspects, The (1995)']","['Shawshank Redemption, The (1994)', 'Pulp Fiction (1994)']",0.225,0.2192,0.1358,0.603556,0.611541,0.018807
72,['Star Wars: Episode V - The Empire Strikes Back (1980)'],['Star Wars: Episode IV - A New Hope (1977)'],0.2246,0.2844,0.1894,0.843277,0.75462,0.187109
73,['Star Wars: Episode IV - A New Hope (1977)'],['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.2844,0.2246,0.1894,0.665963,0.75462,0.187109
74,['Star Wars: Episode VI - Return of the Jedi (1983)'],['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.2342,0.2246,0.1698,0.725021,0.740516,0.033218
75,['Star Wars: Episode V - The Empire Strikes Back (1980)'],['Star Wars: Episode VI - Return of the Jedi (1983)'],0.2246,0.2342,0.1698,0.756011,0.740516,0.033218
76,['Star Wars: Episode V - The Empire Strikes Back (1980)'],"['Matrix, The (1999)']",0.2246,0.2876,0.1602,0.713268,0.635146,0.178977
77,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1864,0.2246,0.1552,0.832618,0.761812,0.149335
78,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.1894,0.2342,0.1552,0.81943,0.741055,0.166915
79,['Star Wars: Episode VI - Return of the Jedi (1983)'],"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.2342,0.1894,0.1552,0.662681,0.741055,0.166915
80,['Star Wars: Episode V - The Empire Strikes Back (1980)'],"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.2246,0.1864,0.1552,0.691006,0.761812,0.149335
81,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)']",0.1894,0.2876,0.1472,0.777191,0.644506,0.297756
82,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1806,0.2246,0.1472,0.815061,0.735224,0.170543
83,['Star Wars: Episode V - The Empire Strikes Back (1980)'],"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.2246,0.1806,0.1472,0.655387,0.735224,0.170543
84,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",['Star Wars: Episode VI - Return of the Jedi (1983)'],0.1602,0.2342,0.1298,0.810237,0.682232,0.279667
85,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.1806,0.1234,0.726737,0.705008,0.047577
86,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Matrix, The (1999)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1448,0.1894,0.1234,0.85221,0.75187,0.211575
87,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1864,0.1602,0.1234,0.662017,0.716152,0.117384
88,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.1864,0.1234,0.770287,0.716152,0.117384
89,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Matrix, The (1999)']",0.1894,0.1448,0.1234,0.651531,0.75187,0.211575
90,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1806,0.1698,0.1234,0.683278,0.705008,0.047577
91,"['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.159,0.2246,0.1238,0.778616,0.664909,0.252502
92,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Forrest Gump (1994)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1366,0.1894,0.1096,0.802343,0.690506,0.243993
93,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.159,0.1096,0.645465,0.667386,0.04927
94,"['Forrest Gump (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1388,0.1864,0.1096,0.789625,0.688804,0.220779
95,"['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.159,0.1698,0.1096,0.689308,0.667386,0.04927
96,"['Forrest Gump (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1388,0.1806,0.1014,0.730548,0.646005,0.191743
97,"['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.159,0.1602,0.1014,0.637736,0.635347,0.00551
98,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Forrest Gump (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.159,0.1014,0.632959,0.635347,0.00551
99,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.155,0.2246,0.1226,0.790968,0.668413,0.270817
100,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1364,0.1806,0.1012,0.741935,0.651145,0.204819
101,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Shawshank Redemption, The (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.155,0.1012,0.63171,0.642307,0.024299
102,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.155,0.1602,0.1012,0.652903,0.642307,0.024299
103,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1364,0.1864,0.1016,0.744868,0.644966,0.22604
104,"['Shawshank Redemption, The (1994)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.155,0.1698,0.1016,0.655484,0.626918,0.066308
105,"['Pulp Fiction (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1496,0.2246,0.121,0.808824,0.67378,0.296209
106,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Pulp Fiction (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.1496,0.105,0.618375,0.660124,0.094216
107,"['Pulp Fiction (1994)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1496,0.1698,0.105,0.701872,0.660124,0.094216
108,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Pulp Fiction (1994)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1338,0.1864,0.105,0.784753,0.674029,0.244424
109,"['Pulp Fiction (1994)', 'Star Wars: Episode IV - A New Hope (1977)']","['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1496,0.1602,0.1018,0.680481,0.657968,0.050962
110,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Pulp Fiction (1994)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.1496,0.1018,0.635456,0.657968,0.050962
111,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Pulp Fiction (1994)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1338,0.1806,0.1018,0.760837,0.662257,0.220132
112,"['Star Wars: Episode IV - A New Hope (1977)', 'Silence of the Lambs, The (1991)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1484,0.2246,0.1152,0.77628,0.644596,0.295578
113,"['Terminator 2: Judgment Day (1991)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1254,0.1864,0.1046,0.834131,0.697645,0.294402
114,"['Terminator 2: Judgment Day (1991)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.1328,0.1698,0.1046,0.787651,0.701835,0.186869
115,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Terminator 2: Judgment Day (1991)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.1328,0.1046,0.616019,0.701835,0.186869
116,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Jurassic Park (1993)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.126,0.1894,0.1036,0.822222,0.684606,0.299339
117,"['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Jurassic Park (1993)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1698,0.137,0.1036,0.61013,0.683167,0.161417
118,"['Jurassic Park (1993)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1252,0.1864,0.1036,0.827476,0.691635,0.294231
119,"['Jurassic Park (1993)', 'Star Wars: Episode IV - A New Hope (1977)']","['Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",0.137,0.1698,0.1036,0.756204,0.683167,0.161417
120,['Fight Club (1999)'],"['Matrix, The (1999)']",0.2238,0.2876,0.1666,0.744415,0.661846,0.185035
121,"['Shawshank Redemption, The (1994)', 'Matrix, The (1999)']",['Fight Club (1999)'],0.1782,0.2238,0.1218,0.683502,0.613869,0.162741
122,"['Matrix, The (1999)', 'Pulp Fiction (1994)']",['Fight Club (1999)'],0.1644,0.2238,0.1256,0.76399,0.662602,0.2262
123,"['Forrest Gump (1994)', 'Matrix, The (1999)']",['Fight Club (1999)'],0.1758,0.2238,0.1188,0.675768,0.6033,0.17094
124,"['Forrest Gump (1994)', 'Fight Club (1999)']","['Matrix, The (1999)', 'Pulp Fiction (1994)']",0.1392,0.1644,0.1008,0.724138,0.668638,0.12426
125,"['Matrix, The (1999)', 'Pulp Fiction (1994)']","['Forrest Gump (1994)', 'Fight Club (1999)']",0.1644,0.1392,0.1008,0.613139,0.668638,0.12426
126,"['Fight Club (1999)', 'Pulp Fiction (1994)']","['Forrest Gump (1994)', 'Matrix, The (1999)']",0.1472,0.1758,0.1008,0.684783,0.629081,0.128713
127,"['Matrix, The (1999)', 'Silence of the Lambs, The (1991)']",['Fight Club (1999)'],0.161,0.2238,0.1124,0.698137,0.600186,0.230543
128,['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],['Star Wars: Episode IV - A New Hope (1977)'],0.2184,0.2844,0.1622,0.742674,0.656498,0.193776
129,['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.2184,0.2246,0.1534,0.702381,0.692686,0.021409
130,['Star Wars: Episode V - The Empire Strikes Back (1980)'],['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.2246,0.2184,0.1534,0.682992,0.692686,0.021409
131,['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],"['Matrix, The (1999)']",0.2184,0.2876,0.1516,0.694139,0.61063,0.19526
132,['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],['Star Wars: Episode VI - Return of the Jedi (1983)'],0.2184,0.2342,0.1398,0.64011,0.618518,0.050512
133,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1622,0.2246,0.1408,0.868064,0.747478,0.253659
134,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1894,0.2184,0.1408,0.7434,0.694044,0.108614
135,['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.2184,0.1894,0.1408,0.644689,0.694044,0.108614
136,['Star Wars: Episode V - The Empire Strikes Back (1980)'],"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.2246,0.1622,0.1408,0.626892,0.747478,0.253659
137,"['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1806,0.2184,0.127,0.703212,0.642357,0.138971
138,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1602,0.2184,0.12,0.749064,0.649258,0.225058
139,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Matrix, The (1999)']",['Star Wars: Episode V - The Empire Strikes Back (1980)'],0.1516,0.2246,0.12,0.791557,0.66292,0.284934
140,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)'],0.1472,0.2184,0.1138,0.773098,0.64708,0.282764
141,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Matrix, The (1999)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1534,0.1806,0.1138,0.741851,0.685987,0.123524
142,"['Matrix, The (1999)', 'Star Wars: Episode V - The Empire Strikes Back (1980)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1602,0.1622,0.1138,0.710362,0.705982,0.009588
143,"['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']","['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Matrix, The (1999)']",0.1894,0.1516,0.1138,0.600845,0.675752,0.166373
144,"['Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Matrix, The (1999)']","['Star Wars: Episode V - The Empire Strikes Back (1980)', 'Star Wars: Episode IV - A New Hope (1977)']",0.1516,0.1894,0.1138,0.75066,0.675752,0.166373
